cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
180000,0,74,3,0,2,1
185000,0,74,3,0,3,1
190000,0,82,3,0,4,1
190000,0,104,3,0,3,1
199900,0,80,3,0,3,1
200000,1,116,3,0,3,1
205000,0,150,3,0,4,1
205000,0,63,3,0,3,1
205000,0,63,3,0,2,1
207000,0,84,3,0,4,1
210000,0,88,3,0,4,1
226000,0,73,3,0,3,1
230000,0,86,3,0,4,1
240000,0,108,3,0,4,1
247500,0,99,3,0,4,1
250000,0,88,3,0,3,1
258000,0,91,3,0,3,1
260000,0,65,3,0,3,1
262000,0,101,3,0,4,1
262000,0,115,3,0,4,1
270000,0,85,3,0,2,1
275000,0,115,3,0,4,1
285000,0,105,3,0,4,1
287000,0,118,3,0,3,1
287500,0,115,3,0,4,1
308000,0,79,3,0,4,1
323000,0,85,3,0,3,1
380000,0,95,3,0,3,1
420000,0,113,3,0,4,1
459000,0,119,3,0,3,1
460000,0,184,3,0,5,1
1800000,0,600,3,0,2,1
60000,0,25,3,0,0,2
88000,0,55,3,0,2,2
92500,0,54,3,0,2,2
92500,0,55,3,0,2,2
104000,0,59,3,0,2,2
105000,0,59,3,0,2,2
105000,0,59,3,0,2,2
113400,0,56,3,0,2,2
114000,0,52,3,0,2,2
117000,0,64,3,0,3,2
119900,0,68,3,0,3,2
120000,0,71,3,0,3,2
126000,0,68,3,0,3,2
128000,0,68,3,0,3,2
128500,0,68,3,0,3,2
129000,0,68,3,0,3,2
129900,0,68,3,0,3,2
135000,0,54,3,0,2,2
144000,0,86,3,0,3,2
149500,0,79,3,0,4,2
150000,0,60,3,0,3,2
150000,0,53,3,0,2,2
158000,0,86,3,0,3,2
159000,0,58,3,0,2,2
182000,1,74,3,0,3,2
190000,0,85,3,0,3,2
190000,0,85,3,0,3,2
190000,0,85,3,0,3,2
235000,0,87,3,0,4,2
273000,0,83,3,0,3,2
450000,0,154,3,0,5,2
470000,0,125,3,0,5,2
69190,1,47,3,0,2,3
74000,1,74,3,0,2,3
77000,1,30,3,0,2,3
77999,1,42,3,0,2,3
86802,1,44,3,0,0,3
105145,1,85,3,0,3,3
110252,1,54,3,0,2,3
128000,0,69,3,0,3,3
43600,1,23,3,0,0,4
75000,1,43,3,0,3,4
85000,0,50,3,0,2,4
89000,0,70,3,0,3,4
93000,1,59,3,0,3,4
105000,0,62,3,0,3,4
105000,0,63,3,0,3,4
120000,0,65,3,0,3,4
121000,0,56,3,0,2,4
147520,1,76,3,0,3,4
155000,0,55,3,0,2,4
195000,0,90,3,0,3,4
226750,1,84,3,0,3,4
93000,1,62,3,0,2,5
95000,0,70,3,0,3,5
120000,0,65,3,0,3,5
139000,1,95,3,0,3,5
325000,0,130,3,0,3,5
65212,0,33,4,0,1,1
99000,0,58,4,0,3,1
107000,0,50,4,0,2,1
108000,0,50,4,0,2,1
115000,0,55,4,0,2,1
125000,0,70,4,0,3,1
125000,0,70,4,0,3,1
125000,0,70,4,0,3,1
125000,0,49,4,0,2,1
125000,0,49,4,0,2,1
129000,0,60,4,0,3,1
129000,0,53,4,0,2,1
130000,0,60,4,0,3,1
130000,0,75,4,0,3,1
133000,0,60,4,0,3,1
144702,1,60,4,0,2,1
155000,0,55,4,0,2,1
158000,0,122,4,0,3,1
160000,1,82,4,0,3,1
165000,0,56,4,0,2,1
169000,0,83,4,0,4,1
170000,0,56,4,0,2,1
174300,1,83,4,0,3,1
180000,0,67,4,0,3,1
188000,1,82,4,0,3,1
189000,0,80,4,0,3,1
199000,0,80,4,0,3,1
215000,0,66,4,0,3,1
220000,0,81,4,0,3,1
230000,1,105,4,0,5,1
230000,0,102,4,0,3,1
245000,0,104,4,0,4,1
249999,0,98,4,0,4,1
260000,0,96,4,0,4,1
260000,0,84,4,0,3,1
269000,0,96,4,0,3,1
269000,0,98,4,0,3,1
270000,0,96,4,0,4,1
270000,0,96,4,0,4,1
270000,0,98,4,0,3,1
279000,0,96,4,0,4,1
280000,0,75,4,0,3,1
288000,0,95,4,0,3,1
290000,0,116,4,0,4,1
652000,1,163,4,0,4,1
