cijena,stanje,lokacija,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
100000,0,Novi Grad,70,3,0,3,1
100000,0,Ilidza,62,3,0,2,1
105000,0,Ilidza,62,3,0,2,1
107000,0,Ilidza,56,3,0,3,1
109391,0,Ilidza,50,3,0,2,1
110000,0,Novo Sarajevo,52,3,0,2,1
110000,0,Ilidza,60,3,0,2,1
110000,0,Ilidza,62,3,0,2,1
115000,1,Novi Grad,71,3,0,2,1
122100,0,Novi Grad,66,3,0,2,1
124051,0,Ilidza,56,3,0,2,1
125000,0,Novo Sarajevo,56,3,0,2,1
125000,1,Ilidza,90,3,0,2,1
126000,0,Ilidza,83,3,0,3,1
126000,0,Ilidza,83,3,0,3,1
129500,0,Novo Sarajevo,60,3,0,3,1
131000,0,Novo Sarajevo,60,3,0,3,1
149642,1,Novi Grad,62,3,0,2,1
155000,0,Opcina Centar,55,3,0,2,1
155000,0,Opcina Centar,55,3,0,2,1
155000,0,Opcina Centar,55,3,0,2,1
155000,0,Opcina Centar,55,3,0,2,1
158600,0,Vogosca,122,3,0,5,1
165000,0,Vogosca,100,3,0,5,1
165000,0,Opcina Centar,60,3,0,2,1
168000,0,Opcina Centar,56,3,0,3,1
170000,1,Novo Sarajevo,78,3,0,3,1
171000,0,Novo Sarajevo,57,3,0,2,1
174300,1,Ilidza,83,3,0,3,1
175000,1,Ilidza,144,3,0,3,1
179555,0,Novi Grad,85,3,0,3,1
180000,0,Opcina Centar,76,3,0,3,1
180000,0,Novo Sarajevo,74,3,0,2,1
185000,0,Stari Grad,74,3,0,3,1
190000,0,Novo Sarajevo,82,3,0,4,1
190000,0,Opcina Centar,104,3,0,3,1
199900,0,Stari Grad,80,3,0,3,1
200000,1,Ilidza,116,3,0,3,1
205000,0,Stari Grad,150,3,0,4,1
205000,0,Novo Sarajevo,63,3,0,3,1
205000,0,Opcina Centar,63,3,0,2,1
207000,0,Ilidza,84,3,0,4,1
210000,0,Opcina Centar,88,3,0,4,1
226000,0,Opcina Centar,73,3,0,3,1
230000,0,Opcina Centar,86,3,0,4,1
240000,0,Opcina Centar,108,3,0,4,1
247500,0,Opcina Centar,99,3,0,4,1
250000,0,Opcina Centar,88,3,0,3,1
258000,0,Opcina Centar,91,3,0,3,1
260000,0,Opcina Centar,65,3,0,3,1
262000,0,Opcina Centar,101,3,0,4,1
262000,0,Opcina Centar,115,3,0,4,1
270000,0,Opcina Centar,85,3,0,2,1
275000,0,Opcina Centar,115,3,0,4,1
285000,0,Opcina Centar,105,3,0,4,1
287000,0,Opcina Centar,118,3,0,3,1
287500,0,Opcina Centar,115,3,0,4,1
308000,0,Opcina Centar,79,3,0,4,1
323000,0,Opcina Centar,85,3,0,3,1
380000,0,Opcina Centar,95,3,0,3,1
420000,0,Opcina Centar,113,3,0,4,1
459000,0,Opcina Centar,119,3,0,3,1
460000,0,Opcina Centar,184,3,0,5,1
1800000,0,Opcina Centar,600,3,0,2,1
60000,0,Novi Grad,25,3,0,0,2
88000,0,Novi Grad,55,3,0,2,2
92500,0,Novi Grad,54,3,0,2,2
92500,0,Novi Grad,55,3,0,2,2
104000,0,Ilidza,59,3,0,2,2
105000,0,Novi Grad,59,3,0,2,2
105000,0,Novi Grad,59,3,0,2,2
113400,0,Novi Grad,56,3,0,2,2
114000,0,Novi Grad,52,3,0,2,2
117000,0,Novi Grad,64,3,0,3,2
119900,0,Novi Grad,68,3,0,3,2
120000,0,Novi Grad,71,3,0,3,2
126000,0,Novi Grad,68,3,0,3,2
128000,0,Novi Grad,68,3,0,3,2
128500,0,Novi Grad,68,3,0,3,2
129000,0,Novi Grad,68,3,0,3,2
129900,0,Novi Grad,68,3,0,3,2
135000,0,Novo Sarajevo,54,3,0,2,2
144000,0,Novi Grad,86,3,0,3,2
149500,0,Novi Grad,79,3,0,4,2
150000,0,Ilidza,60,3,0,3,2
150000,0,Novi Grad,53,3,0,2,2
158000,0,Ilidza,86,3,0,3,2
159000,0,Novo Sarajevo,58,3,0,2,2
182000,1,Novi Grad,74,3,0,3,2
190000,0,Opcina Centar,85,3,0,3,2
190000,0,Opcina Centar,85,3,0,3,2
190000,0,Opcina Centar,85,3,0,3,2
